Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1757,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1758,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1759,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1760,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1761,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1762,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1763,45,1.49,115,1.72,65,0,110,0,1.72
1764,45,1.49,115,1.72,64,1,110,1.1,2.82
1765,45,1.49,115,1.72,64,12,110,13.2,14.92
1766,45,1.49,115,1.72,71,95,110.47,104.95,106.67
1767,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1768,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1769,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1770,45,1.49,115,1.72,65,0,110,0,1.72
1771,45,1.49,115,1.72,64,0,110,0,1.72
1772,45,1.49,115,1.72,63,11,110,12.1,13.82
1773,45,1.49,115,1.72,71,94,110.47,103.84,105.56
1774,45,1.49,115,1.72,71,94,110.47,103.84,105.56
1775,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1776,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1777,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1778,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1779,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1780,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1781,45,1.49,115,1.72,72,92,110.94,102.07,103.79
1782,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1783,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1784,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1785,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1786,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1787,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1788,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1789,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1790,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1791,45,1.49,115,1.72,66,0,110,0,1.72
1792,45,1.49,115,1.72,65,0,110,0,1.72
1793,45,1.49,115,1.72,64,11,110,12.1,13.82
1794,45,1.49,115,1.72,72,96,110.94,106.51,108.23
1795,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1796,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1797,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1798,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1799,45,1.49,115,1.72,72,94,110.94,104.29,106.01
1800,45,1.49,115,1.72,72,93,110.94,103.18,104.9
