Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1215,27.8,2.37,125,2.97,60,0,350,0,2.97
1216,27.8,2.37,125,2.97,60,0,350,0,2.97
1217,27.8,2.37,125,2.97,60,0,350,0,2.97
1218,27.8,2.37,125,2.97,60,0,350,0,2.97
1219,27.8,2.37,125,2.97,60,0,350,0,2.97
1220,27.8,2.37,125,2.97,59,0,350,0,2.97
1221,27.8,2.37,125,2.97,59,0,350,0,2.97
1222,27.8,2.37,125,2.97,59,0,350,0,2.97
1223,27.8,2.37,125,2.97,59,0,350,0,2.97
1224,27.8,2.37,125,2.97,61,25,350,87.5,90.47
1225,27.8,2.37,125,2.97,65,79,350,276.5,279.47
1226,27.8,2.37,125,2.97,65,82,350,287,289.97
1227,27.8,2.37,125,2.97,66,79,350,276.5,279.47
1228,27.8,2.37,125,2.97,67,83,350,290.5,293.47
1229,27.8,2.37,125,2.97,67,82,350,287,289.97
1230,27.8,2.37,125,2.97,67,78,350,273,275.97
1231,27.8,2.37,125,2.97,67,83,350,290.5,293.47
1232,27.8,2.37,125,2.97,67,80,350,280,282.97
1233,27.8,2.37,125,2.97,65,3,350,10.5,13.47
1234,27.8,2.37,125,2.97,65,0,350,0,2.97
1235,27.8,2.37,125,2.97,64,6,350,21,23.97
1236,27.8,2.37,125,2.97,63,6,350,21,23.97
1237,27.8,2.37,125,2.97,66,54,350,189,191.97
1238,27.8,2.37,125,2.97,65,0,350,0,2.97
1239,27.8,2.37,125,2.97,64,0,350,0,2.97
1240,27.8,2.37,125,2.97,67,80,350,280,282.97
1241,27.8,2.37,125,2.97,65,2,350,7,9.97
1242,27.8,2.37,125,2.97,66,78,350,273,275.97
1243,27.8,2.37,125,2.97,67,49,350,171.5,174.47
1244,27.8,2.37,125,2.97,68,77,350,269.5,272.47
1245,27.8,2.37,125,2.97,66,2,350,7,9.97
1246,27.8,2.37,125,2.97,68,81,350,283.5,286.47
1247,27.8,2.37,125,2.97,66,0,350,0,2.97
1248,27.8,2.37,125,2.97,68,64,350,224,226.97
1249,27.8,2.37,125,2.97,68,27,350,94.5,97.47
1250,27.8,2.37,125,2.97,67,56,350,196,198.97
1251,27.8,2.37,125,2.97,66,0,350,0,2.97
1252,27.8,2.37,125,2.97,65,0,350,0,2.97
1253,27.8,2.37,125,2.97,64,0,350,0,2.97
1254,27.8,2.37,125,2.97,64,0,350,0,2.97
1255,27.8,2.37,125,2.97,64,0,350,0,2.97
1256,27.8,2.37,125,2.97,64,0,350,0,2.97
1257,27.8,2.37,125,2.97,64,0,350,0,2.97
1258,27.8,2.37,125,2.97,63,0,350,0,2.97
1259,27.8,2.37,125,2.97,63,0,350,0,2.97
1260,27.8,2.37,125,2.97,63,0,350,0,2.97
1261,27.8,2.37,125,2.97,63,0,350,0,2.97
1262,27.8,2.37,125,2.97,63,0,350,0,2.97
1263,27.8,2.37,125,2.97,63,0,350,0,2.97
1264,27.8,2.37,125,2.97,63,0,350,0,2.97
1265,27.8,2.37,125,2.97,63,0,350,0,2.97
1266,27.8,2.37,125,2.97,63,0,350,0,2.97
1267,27.8,2.37,125,2.97,67,82,350,287,289.97
1268,27.8,2.37,125,2.97,67,78,350,273,275.97
1269,27.8,2.37,125,2.97,68,83,350,290.5,293.47
1270,27.8,2.37,125,2.97,68,78,350,273,275.97
1271,27.8,2.37,125,2.97,69,82,350,287,289.97
1272,27.8,2.37,125,2.97,69,81,350,283.5,286.47
